File Path,Status,Result
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667262571-20240711019_超限录音-01.wav,Success,"[('Speech', 0.5383647), ('Vehicle', 0.36682045), ('Train', 0.3358563), ('Rail transport', 0.24258465), ('Railroad car, train wagon', 0.18344735)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667162383-20240711014_超限录音-01.wav,Success,"[('Vehicle', 0.490239), ('Train', 0.44045657), ('Railroad car, train wagon', 0.31407583), ('Rail transport', 0.3117358), ('Subway, metro, underground', 0.23794961)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667242551-20240711018_超限录音-01.wav,Success,"[('Speech', 0.54746616), ('Train', 0.34596965), ('Vehicle', 0.27876508), ('Rail transport', 0.24948017), ('Subway, metro, underground', 0.22443995)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667282608-20240711020_超限录音-01.wav,Success,"[('Speech', 0.62099946), ('Vehicle', 0.26275432), ('Train', 0.07775018), ('Outside, urban or manmade', 0.07544857), ('Aircraft', 0.070617154)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667302671-20240711021_超限录音-01.wav,Success,"[('Speech', 0.689331), ('Vehicle', 0.28761488), ('Train', 0.09789265), ('Outside, urban or manmade', 0.072922096), ('Rail transport', 0.05956214)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667142243-20240711013_超限录音-01.wav,Success,"[('Speech', 0.44517705), ('Train', 0.3142227), ('Vehicle', 0.24055436), ('Rail transport', 0.2230816), ('Railroad car, train wagon', 0.20011476)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667222552-20240711017_超限录音-01.wav,Success,"[('Speech', 0.7076746), ('Vehicle', 0.3839312), ('Train', 0.21790965), ('Rail transport', 0.15735732), ('Railroad car, train wagon', 0.102508515)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667202492-20240711016_超限录音-01.wav,Success,"[('Speech', 0.64195687), ('Vehicle', 0.5517546), ('Train', 0.28859973), ('Aircraft', 0.20448512), ('Rail transport', 0.18073837)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667182451-20240711015_超限录音-01.wav,Success,"[('Speech', 0.48009923), ('Train', 0.4329328), ('Vehicle', 0.3603754), ('Rail transport', 0.3150667), ('Subway, metro, underground', 0.26100817)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667122197-20240711012_超限录音-01.wav,Success,"[('Train', 0.3667025), ('Vehicle', 0.29559833), ('Church bell', 0.2854863), ('Railroad car, train wagon', 0.2768742), ('Rail transport', 0.27671596)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667362880-20240711024_超限录音-01.wav,Success,"[('Speech', 0.6505128), ('Vehicle', 0.19015408), ('Pink noise', 0.108212166), ('Waves, surf', 0.07636284), ('Outside, urban or manmade', 0.06521493)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667322770-20240711022_超限录音-01.wav,Success,"[('Speech', 0.55626696), ('Train', 0.26068327), ('Vehicle', 0.19138475), ('Rail transport', 0.17323118), ('Train horn', 0.14382713)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667463757-20240711029_超限录音-01.wav,Success,"[('Pink noise', 0.10964171), ('Vehicle', 0.1051443), ('Mechanical fan', 0.104832985), ('Air conditioning', 0.085804485), ('White noise', 0.07220907)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667443685-20240711028_超限录音-01.wav,Success,"[('Pink noise', 0.15161802), ('Vehicle', 0.097811386), ('Mechanical fan', 0.06937713), ('Air conditioning', 0.06430972), ('White noise', 0.05876792)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667483825-20240711030_超限录音-01.wav,Success,"[('Vehicle', 0.13275833), ('Pink noise', 0.087527215), ('White noise', 0.085340984), ('Mechanical fan', 0.083903216), ('Air conditioning', 0.070056)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667503880-20240711031_超限录音-01.wav,Success,"[('Vehicle', 0.13406448), ('Pink noise', 0.10042676), ('White noise', 0.09986991), ('Mechanical fan', 0.085535556), ('Air conditioning', 0.066460624)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667664455-20240711039_超限录音-01.wav,Success,"[('Music', 0.28223187), ('Air conditioning', 0.10663675), ('Pink noise', 0.07317635), ('Vehicle', 0.06910406), ('Mechanical fan', 0.064994395)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667764677-20240711044_超限录音-01.wav,Success,"[('Music', 0.31258434), ('Speech', 0.26384282), ('Train', 0.26036164), ('Rail transport', 0.18674874), ('Railroad car, train wagon', 0.14888239)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667724650-20240711042_超限录音-01.wav,Success,"[('Music', 0.52614355), ('Speech', 0.52405655), ('Musical instrument', 0.1353977), ('Train', 0.07543065), ('Vehicle', 0.07020929)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667844957-20240711048_超限录音-01.wav,Success,"[('Speech', 0.5109869), ('Pink noise', 0.17226636), ('Waves, surf', 0.11301286), ('Vehicle', 0.09763734), ('Ocean', 0.094872385)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667564145-20240711034_超限录音-01.wav,Success,"[('Train', 0.2618774), ('Vehicle', 0.2284559), ('Rail transport', 0.19034626), ('Railroad car, train wagon', 0.180435), ('Subway, metro, underground', 0.13076475)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667744647-20240711043_超限录音-01.wav,Success,"[('Music', 0.3585396), ('Church bell', 0.25724307), ('Bell', 0.23640537), ('Hammer', 0.22874226), ('Musical instrument', 0.11756877)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\切割机\1720667523935-20240711032_超限录音-01.wav,Success,"[('White noise', 0.13119249), ('Mechanical fan', 0.12394036), ('Vehicle', 0.10600813), ('Air conditioning', 0.09066238), ('Pink noise', 0.08304497)]"
